,epoch,time,loss_heat_transfer,ts_pde_loss,ts_bdr_loss
0,0,5.153218746185303,2459528.0828653947,3.0439384001823555e-05,2524279.5
1,1,8.182118654251099,2459528.0828653947,0.0001295317551921471,4547826.0
2,2,11.130233764648438,2459528.0828653947,0.000529204450913312,2781524.5
3,3,14.417442560195923,2459528.0828653947,0.002102924127939332,3449668.5
4,4,17.48623538017273,2459528.0828653947,0.0038206127010198543,3438123.75
5,5,20.467262506484985,2459528.0828653947,0.00806509977519454,3448298.0
6,6,23.997820138931274,2459528.0828653947,0.01299836953603517,3171493.5
7,7,27.053647994995117,2459528.0828653947,0.024190194460970815,3148992.0
8,8,30.12942147254944,2459528.0828653947,0.028610065324301104,2962554.5
9,9,33.751734495162964,2459528.0828653947,0.03477983647462679,2893562.0
10,10,36.898354053497314,2459528.0828653947,0.035964489263278665,2972802.0
11,11,39.90826892852783,2459528.0828653947,0.03603754975847551,2710751.0
12,12,42.951152086257935,2459528.0828653947,0.042743549223814625,2898443.25
13,13,45.93814253807068,2459528.0828653947,0.0377107186759531,3052368.25
14,14,48.8393828868866,2459528.0828653947,0.031295137526285544,2847489.5
15,15,51.78550386428833,2459528.0828653947,0.035495145712047815,3008795.5
16,16,55.15449357032776,2459528.0828653947,0.03393399857850454,2696052.0
17,17,58.37986874580383,2459528.0828653947,0.043365787005313905,2741338.5
18,18,61.793737173080444,2459528.0828653947,0.04190665210990119,2716447.5
19,19,64.71991181373596,2459528.0828653947,0.040372725277848076,2719224.5
20,20,67.79169654846191,2459528.0828653947,0.04245598333363887,2637768.0
21,21,70.83455872535706,2459528.0828653947,0.04425922116206493,2753687.5
22,22,73.7766923904419,2459528.0828653947,0.040028224895650055,2506386.0
23,23,76.78664040565491,2459528.0828653947,0.05100490090808307,2822826.25
24,24,79.84545946121216,2459528.0828653947,0.04136364858277375,2533437.0
25,25,82.7187750339508,2459528.0828653947,0.050121372300054645,2589685.5
26,26,85.67686367034912,2459528.0828653947,0.05151036623647087,2717245.0
27,27,88.64293146133423,2459528.0828653947,0.04374121574983292,2485234.75
28,28,91.5262200832367,2459528.0828653947,0.05513646877443534,2671652.0
29,29,94.47034621238708,2459528.0828653947,0.04761315683390421,2439330.0
30,30,97.42344880104065,2459528.0828653947,0.05680950039095478,2652825.25
31,31,100.3466305732727,2459528.0828653947,0.04979752682993421,2412498.0
32,32,103.26781821250916,2459528.0828653947,0.06114100847480586,2726406.5
33,33,106.25981616973877,2459528.0828653947,0.04661450526327826,2432450.5
34,34,109.24184131622314,2459528.0828653947,0.060527837315021316,2590286.5
35,35,112.26874542236328,2459528.0828653947,0.05757289861685422,2458933.0
36,36,115.25974655151367,2459528.0828653947,0.061494797348132124,2482922.5
37,37,118.30659794807434,2459528.0828653947,0.06323361121212656,2494579.75
38,38,121.32053732872009,2459528.0828653947,0.06438644671652582,2493843.25
39,39,124.1778953075409,2459528.0828653947,0.06284061257974827,2436078.5
40,40,127.16291236877441,2459528.0828653947,0.0694703554327134,2473316.5
41,41,130.21375393867493,2459528.0828653947,0.0666659075577627,2402020.5
42,42,133.0661244392395,2459528.0828653947,0.07845833158353344,2538939.0
43,43,136.0092532634735,2459528.0828653947,0.05976064089554711,2342839.75
44,44,139.04513454437256,2459528.0828653947,0.08165982841455843,2629039.0
45,45,141.92842292785645,2459528.0828653947,0.049933494277865975,2374613.0
46,46,144.86556768417358,2459528.0828653947,0.07468539433102706,2538818.0
47,47,147.81468057632446,2459528.0828653947,0.07109097963257227,2412181.0
48,48,150.89444398880005,2459528.0828653947,0.07795542383973952,2516850.0
49,49,153.98717188835144,2459528.0828653947,0.05495318113207759,2335609.0
50,50,157.06095218658447,2459528.0828653947,0.0833021343614746,2697099.75
51,51,160.08985137939453,2459528.0828653947,0.04642582245651283,2378312.5
52,52,163.00106573104858,2459528.0828653947,0.06382822106297681,2463932.5
53,53,165.91926097869873,2459528.0828653947,0.07755127108248416,2487225.25
54,54,168.85241651535034,2459528.0828653947,0.05557527278415364,2374166.75
55,55,171.8115017414093,2459528.0828653947,0.08105543447163654,2585877.0
56,56,174.67285013198853,2459528.0828653947,0.049156841667354456,2338934.5
57,57,177.61897110939026,2459528.0828653947,0.0790638637581651,2564147.0
58,58,180.57406759262085,2459528.0828653947,0.05284595178272866,2342690.25
59,59,183.42843294143677,2459528.0828653947,0.08006645948626101,2561619.0
60,60,186.3605921268463,2459528.0828653947,0.05045194619651738,2331794.75
61,61,189.30372095108032,2459528.0828653947,0.078616274918204,2571864.75
62,62,192.20100092887878,2459528.0828653947,0.050241948400071124,2334184.5
63,63,195.2029435634613,2459528.0828653947,0.07834715598073672,2544623.5
64,64,198.1410858631134,2459528.0828653947,0.055074733556466526,2336894.25
65,65,201.04531908035278,2459528.0828653947,0.07914122113015765,2585172.25
66,66,203.96251678466797,2459528.0828653947,0.05015658593583794,2332860.5
67,67,206.89071774482727,2459528.0828653947,0.07983923795109149,2599655.0
68,68,209.9584813117981,2459528.0828653947,0.050069087166775716,2319627.75
69,69,213.099107503891,2459528.0828653947,0.07804341930204828,2529290.0
70,70,216.17286109924316,2459528.0828653947,0.05923539836840064,2330587.25
71,71,219.27755784988403,2459528.0828653947,0.07886026149662939,2524769.25
72,72,222.35532665252686,2459528.0828653947,0.05531036729917105,2305061.0
73,73,225.2136812210083,2459528.0828653947,0.08359335620298225,2606823.5
74,74,228.16977643966675,2459528.0828653947,0.05387573225198139,2316170.5
75,75,231.14481949806213,2459528.0828653947,0.07603950761040323,2545999.5
